ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
NapTol_Functional_sc_29_0	287	102	389	NapTol_Functional_sc_29	7708	+		Clostridia (186801)	CopG family transcripitonal regulator
NapTol_Functional_sc_29_1	1385	361	1746	NapTol_Functional_sc_29	7708	+		Bacteria (2)	Thiazole biosynthesis protein ThiH
NapTol_Functional_sc_29_2	1037	1743	2780	NapTol_Functional_sc_29	7708	+		Bacteria (2)	Biotin synthase related enzymes
NapTol_Functional_sc_29_3	1349	2770	4119	NapTol_Functional_sc_29	7708	+	4.3.1.1	Spirochaetaceae (137)	Aspartate ammonia-lyase (EC 4.3.1.1)
NapTol_Functional_sc_29_4	1271	4129	5400	NapTol_Functional_sc_29	7708	+		Bacteria (2)	Putative GTP-binding protien TM0445
NapTol_Functional_sc_29_5	1154	5554	6708	NapTol_Functional_sc_29	7708	+		Monera	Ferredoxin oxidoreductase
NapTol_Functional_sc_29_6	410	6705	7115	NapTol_Functional_sc_29	7708	+		Bacteria (2)	NIL domain-containing protein
NapTol_Functional_sc_29_7	314	7119	7433	NapTol_Functional_sc_29	7708	+		root (1)	hypothetical protein
NapTol_Functional_sc_28_0	2012	22	2034	NapTol_Functional_sc_28	31012	-	3.6.3.3	Bacteria (2)	Lead, cadmium, zinc mercury transporting ATPase (EC 3.6.3.3) 3.6.3.5) Copper-translocating P-type 3.6.3.4)
NapTol_Functional_sc_28_1	1559	2129	3688	NapTol_Functional_sc_28	31012	-		root (1)	hypothetical protein
NapTol_Functional_sc_28_2	836	3778	4614	NapTol_Functional_sc_28	31012	-		Bacteria (2)	high-affinity iron transporter
NapTol_Functional_sc_28_3	2465	4821	7286	NapTol_Functional_sc_28	31012	+	3.6.3.3	Bacteria (2)	Lead, cadmium, zinc mercury transporting ATPase (EC 3.6.3.3) 3.6.3.5) Copper-translocating P-type 3.6.3.4)
NapTol_Functional_sc_28_4	1028	7370	8398	NapTol_Functional_sc_28	31012	-		root (1)	hypothetical protein
NapTol_Functional_sc_28_5	224	8395	8619	NapTol_Functional_sc_28	31012	-		root (1)	hypothetical protein
NapTol_Functional_sc_28_6	650	8672	9322	NapTol_Functional_sc_28	31012	-		root (1)	hypothetical protein
NapTol_Functional_sc_28_7	599	9537	10136	NapTol_Functional_sc_28	31012	+		root (1)	hypothetical protein
NapTol_Functional_sc_28_8	272	10200	10472	NapTol_Functional_sc_28	31012	-		root (1)	hypothetical protein
NapTol_Functional_sc_28_9	1520	10593	12113	NapTol_Functional_sc_28	31012	-	1.12.7.2	Bacteria (2)	Periplasmic hydrogenase (EC 1.12.7.2)
NapTol_Functional_sc_28_10	275	12106	12381	NapTol_Functional_sc_28	31012	-		root (1)	hypothetical protein
NapTol_Functional_sc_28_11	1127	12849	13976	NapTol_Functional_sc_28	31012	+		Bacteria (2)	Prokaryotic ATPase
NapTol_Functional_sc_28_12	1256	14121	15377	NapTol_Functional_sc_28	31012	-		Desulfomonile tiedjei (2358)	Fe-S oxidoreductase
NapTol_Functional_sc_28_13	773	15381	16154	NapTol_Functional_sc_28	31012	-		root (1)	hypothetical protein
NapTol_Functional_sc_28_14	239	16164	16403	NapTol_Functional_sc_28	31012	-		Bacillales (1385)	SirA family protein
NapTol_Functional_sc_28_15	536	16436	16972	NapTol_Functional_sc_28	31012	-	1.8.1.14	Firmicutes (1239)	CoA-disulfide reductase (EC 1.8.1.14) / Disulfide bond regulator
NapTol_Functional_sc_28_16	302	17026	17328	NapTol_Functional_sc_28	31012	-		Anaeromyxobacter sp. Fw109-5 (404589)	transcriptional regulator, ArsR family
NapTol_Functional_sc_28_17	2051	17400	19451	NapTol_Functional_sc_28	31012	+	1.5.1.20	Bacteria (2)	5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)
NapTol_Functional_sc_28_18	3740	19448	23188	NapTol_Functional_sc_28	31012	+	2.1.1.13	Proteobacteria (1224)	5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)
NapTol_Functional_sc_28_19	800	23115	23915	NapTol_Functional_sc_28	31012	-		root (1)	hypothetical protein
NapTol_Functional_sc_28_20	410	23919	24329	NapTol_Functional_sc_28	31012	-		Bacteria (2)	NIL domain-containing protein
NapTol_Functional_sc_28_21	1154	24326	25480	NapTol_Functional_sc_28	31012	-		Monera	Ferredoxin oxidoreductase
NapTol_Functional_sc_28_22	1271	25634	26905	NapTol_Functional_sc_28	31012	-		Bacteria (2)	Putative GTP-binding protien TM0445
NapTol_Functional_sc_28_23	1349	26915	28264	NapTol_Functional_sc_28	31012	-	4.3.1.1	Spirochaetaceae (137)	Aspartate ammonia-lyase (EC 4.3.1.1)
NapTol_Functional_sc_28_24	1037	28254	29291	NapTol_Functional_sc_28	31012	-		Firmicutes (1239)	Biotin synthase related enzymes
NapTol_Functional_sc_28_25	1385	29288	30673	NapTol_Functional_sc_28	31012	-		Bacteria (2)	Thiazole biosynthesis protein ThiH
