id,start,end,strand,product
A42045-3.fa_0_2,1695,1958,-, ribosomal protein L27
A42045-3.fa_0_3,1980,2297,-,ribosomal protein L21
A42045-3.fa_0_4,2727,4286,+,Acetyl-CoA carboxylase
A42045-3.fa_0_5,4352,4807,-,vacuolar-type H+-ATPase subunit H
A42045-3.fa_0_6,4848,5444,-,methyltransferase
A42045-3.fa_0_7,5563,6525,+,spore protease 
A42045-3.fa_0_8,6944,7198,-,small acid-soluble spore protein
A42045-3.fa_0_9,7374,9452,-,ATP-dependent DNA helicase RecG
A42045-3.fa_0_10,9730,10770,-,nicotinate phosphoribosyltransferase
A42045-3.fa_0_11,10774,11253,-,ribH
A42045-3.fa_0_12,11284,12492,-,ribBA
A42045-3.fa_0_13,12534,13013,-,ribE
A42045-3.fa_0_14,13230,14249,-,ribD
A42045-3.fa_0_15,14600,15265,-,GntR family transcriptional regulator
A42045-3.fa_0_16,15458,16303,-,thiolase
A42045-3.fa_0_17,16369,17097,-,hypothetical protein
A42045-3.fa_0_18,17100,18947,-,hypothetical protein
A42045-3.fa_0_19,18947,20398,-,hypothetical protein
A42045-3.fa_0_20,20358,20891,-,hypothetical protein
A42045-3.fa_0_21,21092,21325,-,hypothetical protein
A42045-3.fa_0_22,21657,21794,-,hypothetical protein
A42045-3.fa_0_23,21855,22166,-,hypothetical protein
A42045-3.fa_0_24,22144,22440,-,hypothetical protein
A42045-3.fa_0_25,22449,22697,-,hypothetical protein
A42045-3.fa_0_26,22761,23396,-,hypothetical protein
A42045-3.fa_0_27,23408,23620,-,hypothetical protein
A42045-3.fa_0_28,23814,24140,-,hypothetical protein
A42045-3.fa_0_29,24149,24436,-,hypothetical protein
A42045-3.fa_0_30,24433,25224,-,hypothetical protein
A42045-3.fa_0_31,25416,25877,-,hypothetical protein
A42045-3.fa_0_32,25900,26793,-,hypothetical protein
A42045-3.fa_0_33,26795,27733,-,hypothetical protein
A42045-3.fa_0_34,28644,29537,-,hypothetical protein
A42045-3.fa_0_35,29807,30121,-,hypothetical protein
A42045-3.fa_0_36,30165,30524,-,hypothetical protein
A42045-3.fa_0_37,30551,31063,-,hypothetical protein
