id	seqname	start	end	strand	ec	taxonomy	product
NapDC-17-O12_trimmed_k160-6.fa_0_1	NapDC-17-O12_trimmed_k160-6.fa_0	174	743	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_2	NapDC-17-O12_trimmed_k160-6.fa_0	823	2652	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_3	NapDC-17-O12_trimmed_k160-6.fa_0	2655	4502	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_4	NapDC-17-O12_trimmed_k160-6.fa_0	4502	5953	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_5	NapDC-17-O12_trimmed_k160-6.fa_0	5913	6446	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_6	NapDC-17-O12_trimmed_k160-6.fa_0	6647	6880	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_7	NapDC-17-O12_trimmed_k160-6.fa_0	7212	7349	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_8	NapDC-17-O12_trimmed_k160-6.fa_0	7410	7721	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_9	NapDC-17-O12_trimmed_k160-6.fa_0	7699	7995	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_10	NapDC-17-O12_trimmed_k160-6.fa_0	8004	8252	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_11	NapDC-17-O12_trimmed_k160-6.fa_0	8316	8951	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_12	NapDC-17-O12_trimmed_k160-6.fa_0	8963	9175	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_13	NapDC-17-O12_trimmed_k160-6.fa_0	9369	9695	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_14	NapDC-17-O12_trimmed_k160-6.fa_0	9704	9991	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_15	NapDC-17-O12_trimmed_k160-6.fa_0	9988	10779	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_16	NapDC-17-O12_trimmed_k160-6.fa_0	10988	11449	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_17	NapDC-17-O12_trimmed_k160-6.fa_0	11472	12365	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_18	NapDC-17-O12_trimmed_k160-6.fa_0	12367	13305	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_19	NapDC-17-O12_trimmed_k160-6.fa_0	13420	13644	-			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_20	NapDC-17-O12_trimmed_k160-6.fa_0	13890	14075	+			hypothetical protein
NapDC-17-O12_trimmed_k160-6.fa_0_21	NapDC-17-O12_trimmed_k160-6.fa_0	14127	14294	-			hypothetical protein
